Priority,WorkOrder,capable_resource_groups,idle_minutes,ETA,DueDate,Delay,DelayWithoutIdleTime,TimeDifference
43,WO100090-40,39,621,2023-11-28 08:35:00.000,2023-05-12 00:00:00.000,200 days 08:35:00,199 days 22:14:00,0 days 10:21:00
44,WO100092-30,16|17,189,2023-11-27 14:20:00.000,,,,
44,WO100092-40,24,0,2023-11-28 13:19:00.000,,,,
67,WO100312-10,2|1,30,2023-11-29 12:37:00.000,2023-08-28 00:00:00.000,93 days 12:37:00,93 days 12:07:00,0 days 00:30:00
67,WO100312-20,53,685,2023-12-07 09:22:00.000,2023-08-28 00:00:00.000,101 days 09:22:00,100 days 21:57:00,0 days 11:25:00
67,WO100312-30,53,354,2023-12-11 10:15:00.000,2023-08-28 00:00:00.000,105 days 10:15:00,105 days 04:21:00,0 days 05:54:00
38,WO100324-10,38,1393,2023-11-29 13:40:42.600,2023-03-03 00:00:00.000,271 days 13:40:42.600000,270 days 14:27:42.600000,0 days 23:13:00
82,WO100801-20,39,691,2023-11-28 09:45:00.000,2023-09-15 00:00:00.000,74 days 09:45:00,73 days 22:14:00,0 days 11:31:00
45,WO100946-20,104,0,2023-11-27 07:00:00.000,2023-05-29 00:00:00.000,182 days 07:00:00,182 days 07:00:00,0 days 00:00:00
51,WO101246-10,2|1,30,2023-11-27 07:29:57.000,2023-06-27 00:00:00.000,153 days 07:29:57,153 days 06:59:57,0 days 00:30:00
51,WO101246-20,77,2887,2023-12-11 12:00:00.000,2023-06-27 00:00:00.000,167 days 12:00:00,165 days 11:53:00,2 days 00:07:00
51,WO101246-30,69,196,2024-01-02 08:40:00.000,2023-06-27 00:00:00.000,189 days 08:40:00,189 days 05:24:00,0 days 03:16:00
138,WO101262-10,2|1,2584,2023-12-06 06:33:00.000,2023-12-15 00:00:00.000,-9 days +06:33:00,-11 days +11:29:00,1 days 19:04:00
138,WO101262-20,77,10729,2024-01-10 08:42:00.000,2023-12-15 00:00:00.000,26 days 08:42:00,18 days 21:53:00,7 days 10:49:00
138,WO101262-30,69,394,2024-01-16 11:14:00.000,2023-12-15 00:00:00.000,32 days 11:14:00,32 days 04:40:00,0 days 06:34:00
36,WO101503-10,69,0,2023-11-27 07:00:00.000,2023-02-22 00:00:00.000,278 days 07:00:00,278 days 07:00:00,0 days 00:00:00
37,WO101505-10,69,0,2023-11-27 07:26:00.000,2023-02-23 00:00:00.000,277 days 07:26:00,277 days 07:26:00,0 days 00:00:00
229,WO101554-20,53,19886,2024-01-26 09:01:00.000,,,,
229,WO101554-30,53,165,2024-01-30 06:45:00.000,,,,
41,WO101839-10,36,180,2023-11-27 10:00:00.000,2023-04-26 00:00:00.000,215 days 10:00:00,215 days 07:00:00,0 days 03:00:00
32,WO102028-10,67,30,2023-11-27 07:29:51.600,2024-02-29 00:00:00.000,-94 days +07:29:51.600000,-94 days +06:59:51.600000,0 days 00:30:00
292,WO102029-10,67,1001,2023-11-28 14:55:58.200,2024-02-15 00:00:00.000,-79 days +14:55:58.200000,-80 days +22:14:58.200000,0 days 16:41:00
